Name, Total Sales , Adult-Use Sales , Medical Sales ,Address,City,State,Zip,Month,Year,
PECOS VALLEY PRODUCTION INC - APPALOOSA DR RETAIL,"$64,066.60","$61,003.94","$3,062.66",1925 Appaloosa Dr,Sunland Park,NM,88063,August,2025,
OLD GODS CANNABIS INC/ RETAIL APPALOOSA UNIT7,"$137,775.93","$135,299.83","$2,476.10",1541 Appaloosa Unit 7,Sunland Park,NM,88063,August,2025,
OBI WAN CANNABIS LLC,"$22,587.84","$22,330.17",$257.67,2167 McNutt Rd suite A,Sunland Park,NM,88063,August,2025,
NUVES LLC - RANCH ROAD RETAIL,"$34,702.13","$34,684.15",$17.98,101 Maguey Suite 4,Sunland Park,NM,88063,August,2025,
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  SUNLAND PARK RETAIL,"$37,403.01","$30,602.10","$6,800.91",1155 McNutt Road,Sunland Park,NM,88063,August,2025,
"Elevation - NEBRO, LLC","$88,778.38","$84,881.70","$3,896.68",1999 Futurity Drive Unit A,Sunland Park,NM,88063,August,2025,
Empire - J AND J LOAN COMPANY- MCNUTT RETAIL,"$65,156.03","$64,949.18",$206.85,1144 McNutt,Sunland Park,NM,88063,August,2025,
"GREEN LABS CANNABIS COMPANY, LLC- DERBY RD RETAIL","$36,573.57","$36,389.99",$183.58,245 Derby Rd,Sunland Park,NM,88063,August,2025,
FIELDS OF DREAMS - SUNLAND PARK RETAIL,"$1,156,727.30","$1,145,777.29","$10,950.01",159 Sunland Park Dr,Sunland Park,NM,88063,August,2025,
EVEREST APOTHECARY,"$82,115.65","$78,226.13","$3,889.52",1580 Appaloosa Dr Ste 320,Sunland Park,NM,88063,August,2025,
DISPENSARY NEAR ME SUNLAND PARK LLC- MCNUTT RETAIL/CONSUMPTION,"$65,045.27","$60,347.66","$4,697.61",1290 McNutt Rd,Sunland Park,NM,88063,August,2025,
CHADCOR HOLDINGS NM- RETAIL,"$299,700.26","$286,300.35","$13,399.91", 1621 Appaloosa Dr,Sunland Park,NM,88063,August,2025,
"CHADCOR HOLDINGS NM, LLC","$1,084,654.47","$1,036,047.13","$48,607.34",1615 Appaloosa Dr,Sunland Park,NM,88063,August,2025,
BLUE WHALE SUNLAND - APPALOOSA ST RETAIL,"$721,752.96","$674,810.24","$46,942.72",1500 Appaloosa St Suite B,Sunland Park,NM,88063,August,2025,
BESOS LLC/ RETAIL FUTURITY DR,"$50,071.80","$48,359.81","$1,711.99",1805 Futurity Dr,Sunland Park,NM,88603,August,2025,
APOGEE THERAPEUTICS LLC - RETAIL/CONSUMPTION,"$37,841.02","$36,340.70","$1,500.32",1769 Victory Ln,Sunland Park,NM,88063,August,2025,
ST CANAPA LLC - MCNUTT RD RETAIL,"$19,614.80","$18,777.68",$837.12,5305 McNutt Rd,Santa Teresa,NM,88008,August,2025,
HI LIFE DISPENSARY LLC - MCNUTT RD - RETAIL,"$31,001.85","$26,188.25","$4,813.60",5620 McNutt Rd,Santa Teresa,NM,88008,August,2025,
GARDEN OF DREAMS CANNABIS LLC,"$32,551.71","$30,177.31","$2,374.40",5300 Mcnutt Rd,Santa Teresa,NM,88008,August,2025,
FRESHIES LLC/ RETAIL MCNUTT RD,"$44,022.06","$38,652.63","$5,369.43",5325 McNutt Rd,Santa Teresa,NM,88008,August,2025,
TOP OF THE 8TH LLC - ANTHONY DRIVE RETAIL,"$71,925.03","$59,141.48","$12,783.55",401 Anthony Dr Ste B,Anthony,NM,88021,August,2025,
THE GREEN MATRIX - S HIGHWAY 28 RETAIL,"$27,940.57","$22,324.55","$5,616.02",3100 S Highway 28,Anthony,NM,88021,August,2025,
"RMC NM, INC - ANTHONY RETAIL","$97,029.40","$82,100.18","$14,929.22",138 Anthony Dr,Anthony,NM,88021,August,2025,
RH AND MC LLC - MILLER ST RETAIL,"$26,050.64","$19,986.97","$6,063.67",103 Miller St,Anthony,NM,88021,August,2025,
"KUSHOLOGY 101 LLC - OHARA RD, RETAIL","$21,939.22","$20,531.39","$1,407.83",1600 E OHara Rd,Anthony,NM,88021,August,2025,
STATELINE CANNABIS NM LLC-STEPHANIE RETAIL/CONS,"$29,006.99","$27,806.13","$1,200.86",101 Stephanie,Chaparral,NM,880081,August,2025,
STATELINE CANNABIS NM LLC - ARCH ANGEL WAY RETAILER/CONSUMPTION,"$178,630.08","$176,451.11","$2,178.97",100 Arch Angel Way,Chaparral,NM,88081,August,2025,
R R HEMPIRE LLC - ANGELINA BLVD RETAIL,"$10,566.41","$10,042.25",$524.16,101 Angelina Blvd,Chaparral,NM,88081,August,2025,
MEDD LLC - PALOMA BLANCA RETAIL,"$85,245.77","$81,641.78","$3,603.99",170 McCombs,Chaparral,NM,88081,August,2025,
HOUSE OF FLOWERS ON THE BORDER LLC - MANU,$8.18,,$8.18,1042 State Line,Chaparral,NM,88081,August,2025,
GROTH INDUSTRIES LLC - SCHNEBERGER DR RETIAL,"$8,137.35","$7,172.14",$965.21,140 Schneberger Dr,Chaparral,NM,88081,August,2025,
"GREEN THERAPY DISPENSARY, LLC","$428,476.41","$397,923.88","$30,552.53","460 County Line Drive, Space F",Chaparral,NM,88081,August,2025,
GANJIKA GARDENS LLC/ RETAIL RILEY WAY,"$20,043.72","$18,510.28","$1,533.44",1245 Riley Way,Chaparral,NM,88081,August,2025,
ASTRO BUDS LLC - MCCOMBS RD RETAIL,"$211,913.63","$197,622.90","$14,290.73",308 McCombs Rd Spc 2,Chaparral,NM,88081,August,2025,
AREA 54 DISPENSARY LLC- ANGELINA BLVD RETAIL,"$17,511.86","$16,016.05","$1,495.81",764 Angelina blvd,Chaparral,NM,88081,August,2025,
575 CANNABIS LLC- RETAIL 305 S COUNTY LINE,"$6,870.00","$6,485.90",$384.10,305 S County Line Dr,Chaparral,NM,88081,August,2025,
HOUSE OF FLOWERS ON THE BORDER LLC - RETAIL,"$74,748.36","$70,770.34","$3,978.02",1042 State Line,Chapparal,NM,88081,August,2025,
Licensee,Address,City,State,Zip, Medical Sales , Adult-Use Sales , Total Sales ,,,
575 CANNABIS LLC- RETAIL 305 S COUNTY LINE,305 S County Line Dr,Chaparral,NM,88081,"$1,264.14","$8,211.43","$9,475.57",September,2025,
APOGEE THERAPEUTICS LLC - RETAIL/CONSUMPTION,1769 Victory Ln,Sunland Park,NM,88063,"$2,855.05","$42,688.29","$45,543.34",September,2025,
AREA 54 DISPENSARY LLC- ANGELINA BLVD RETAIL,764 Angelina blvd,Chaparral,NM,88081,"$2,682.62","$20,939.15","$23,621.77",September,2025,
ASTRO BUDS LLC - MCCOMBS RD RETAIL,308 McCombs Rd Spc 2,Chaparral,NM,88081,"$10,785.48","$177,562.82","$188,348.30",September,2025,
BESOS LLC/ RETAIL FUTURITY DR,1805 Futurity Dr,Sunland Park,NM,88603,"$1,437.57","$39,896.49","$41,334.06",September,2025,
BLUE WHALE SUNLAND - APPALOOSA ST RETAIL,1500 Appaloosa St Suite B,Sunland Park,NM,88063,"$40,449.86","$599,407.31","$639,857.17",September,2025,
"CHADCOR HOLDINGS NM, LLC",1615 Appaloosa Dr,Sunland Park,NM,88063,"$45,752.44","$939,763.84","$985,516.28",September,2025,
CHADCOR HOLDINGS NM- RETAIL,1621 Appaloosa Dr,Sunland Park,NM,88063,"$11,422.58","$247,715.72","$259,138.30",September,2025,
DIABLO BUDS GROW 1 LLC - APPALOOSA STE 6,1925 Appaloosa Ste 6,Sunland Park,NM,88063,$25.00,$586.82,$611.82,September,2025,
DISPENSARY NEAR ME SUNLAND PARK LLC- MCNUTT RETAIL/CONSUMPTION,1290 McNutt Rd,Sunland Park,NM,88063,"$4,151.24","$58,475.03","$62,626.27",September,2025,
EVEREST APOTHECARY,1580 Appaloosa Dr Ste 320,Sunland Park,NM,88063,"$3,240.77","$67,791.11","$71,031.88",September,2025,
FIELDS OF DREAMS - SUNLAND PARK RETAIL,159 Sunland Park Dr,Sunland Park,NM,88063,"$11,420.65","$1,099,186.43","$1,110,607.08",September,2025,
FRESHIES LLC/ RETAIL MCNUTT RD,5325 McNutt Rd,Santa Teresa,NM,88008,"$4,901.50","$41,784.51","$46,686.01",September,2025,
GANJIKA GARDENS LLC/ RETAIL RILEY WAY,1245 Riley Way,Chaparral,NM,88081,"$1,201.39","$18,032.18","$19,233.57",September,2025,
GARDEN OF DREAMS CANNABIS LLC,5300 Mcnutt Rd,Santa Teresa,NM,88008,"$1,859.74","$34,253.93","$36,113.67",September,2025,
"GREEN LABS CANNABIS COMPANY, LLC- DERBY RD RETAIL",245 Derby Rd,Sunland Park,NM,88063,$214.38,"$31,185.37","$31,399.75",September,2025,
"GREEN THERAPY DISPENSARY, LLC","460 County Line Drive, Space F",Chaparral,NM,88081,"$33,466.02","$437,093.32","$470,559.34",September,2025,
GROTH INDUSTRIES LLC - SCHNEBERGER DR RETIAL,140 Schneberger Dr,Chaparral,NM,88081,"$1,017.77","$7,067.60","$8,085.37",September,2025,
HI LIFE DISPENSARY LLC - MCNUTT RD - RETAIL,5620 McNutt Rd,Santa Teresa,NM,88008,"$6,249.39","$46,440.84","$52,690.23",September,2025,
HOUSE OF FLOWERS ON THE BORDER LLC - MANU,1042 State Line,Chaparral,NM,88081,$8.38,,$8.38,September,2025,
HOUSE OF FLOWERS ON THE BORDER LLC - RETAIL,1042 State Line,Chapparal,NM,88081,"$3,890.37","$73,412.62","$77,302.99",September,2025,
J AND J LOAN COMPANY- MCNUTT RETAIL,1144 McNutt,Sunland Park,NM,88063,$219.43,"$51,180.51","$51,399.94",September,2025,
"KUSHOLOGY 101 LLC - OHARA RD, RETAIL",1600 E OHara Rd,Anthony,NM,88021,$827.73,"$17,907.01","$18,734.74",September,2025,
MEDD LLC - PALOMA BLANCA RETAIL,170 McCombs,Chaparral,NM,88081,"$3,025.95","$76,950.59","$79,976.54",September,2025,
"NEBRO, LLC",1999 Futurity Drive Unit A,Sunland Park,NM,88063,"$3,433.51","$75,935.77","$79,369.28",September,2025,
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  SUNLAND PARK RETAIL,1155 McNutt Road,Sunland Park,NM,88063,"$5,046.65","$25,131.72","$30,178.37",September,2025,
NUVES LLC - RANCH ROAD RETAIL,101 Maguey Suite 4,Sunland Park,NM,88063,$178.99,"$30,535.90","$30,714.89",September,2025,
OBI WAN CANNABIS LLC,2167 McNutt Rd suite A,Sunland Park,NM,88063,"$1,157.43","$17,313.99","$18,471.42",September,2025,
OLD GODS CANNABIS INC/ RETAIL APPALOOSA UNIT7,1541 Appaloosa Unit 7,Sunland Park,NM,88063,"$2,382.01","$125,245.71","$127,627.72",September,2025,
PECOS VALLEY PRODUCTION INC - APPALOOSA DR RETAIL,1925 Appaloosa Dr,Sunland Park,NM,88063,"$2,356.86","$43,233.47","$45,590.33",September,2025,
PROHIBITION 37 - MCNUTT RD RETAIL,871 McNutt Rd,Sunland Park,NM,88063,"$9,511.89","$93,454.87","$102,966.76",September,2025,
"R GREENLEAF ORGANICS INC/ RETAIL APPALOOSA UNIT 1,2","1541 Appaloosas Unit 1, 2, Crossing Offices",Sunland Park,NM,88063,"$5,826.97","$93,883.90","$99,710.87",September,2025,
RH AND MC LLC - MILLER ST RETAIL,103 Miller St,Anthony,NM,88021,"$5,323.53","$18,972.40","$24,295.93",September,2025,
"RMC NM, INC - ANTHONY RETAIL",138 Anthony Dr,Anthony,NM,88021,"$14,852.58","$82,389.12","$97,241.70",September,2025,
"ROUND HOUSE RESERVE, LLC - MCNUTT DR RETAIL",1165 McNutt Dr Unit C5,Sunland Park,NM,88063,"$1,281.67","$9,459.37","$10,741.04",September,2025,
R R HEMPIRE LLC - ANGELINA BLVD RETAIL,101 Angelina Blvd,Chaparral,NM,88081,$143.70,"$8,374.46","$8,518.16",September,2025,
SCORE 420 - MCNUTT RETAIL,2355 McNutt Road,Sunland Park,NM,88063,"$4,596.80","$59,032.70","$63,629.50",September,2025,
STATELINE CANNABIS NM LLC - ARCH ANGEL WAY RETAILER/CONSUMPTION,100 Arch Angel Way,Chaparral,NM,88081,"$2,564.77","$183,410.07","$185,974.84",September,2025,
STATELINE CANNABIS NM LLC-STEPHANIE RETAIL/CONS,101 Stephanie,Chaparral,NM,880081,"$1,151.69","$29,297.27","$30,448.96",September,2025,
ST CANAPA LLC - MCNUTT RD RETAIL,5305 McNutt Rd,Santa Teresa,NM,88008,$814.81,"$14,061.56","$14,876.37",September,2025,
SUNLAND MCNUTT GROUP LLC- MCNUTT RD RETAIL,1051 McNutt Rd,Sunland Park,NM,88063,"$32,070.28","$890,310.56","$922,380.84",September,2025,
SUNSHINE ESSENTIALS/ RETAIL MCNUTT,267 Anapra Rd,Sunland Park,NM,88063,$818.01,"$3,193.85","$4,011.86",September,2025,
TOKE IT UP DISPENSARY AND LOUNGE LLC- FUTURITY DRIVE RETAIL,1999 Futurity Drive,Sunland Park,NM,88063,$246.26,"$2,750.20","$2,996.46",September,2025,
TOP OF THE 8TH LLC - ANTHONY DRIVE RETAIL,401 Anthony Dr Ste B,Anthony,NM,88021,"$11,954.74","$53,354.67","$65,309.41",September,2025,
Licensee,Address,City,State,Zip, Medical Sales , Adult-Use Sales , Total Sales ,,,
TOKE IT UP DISPENSARY AND LOUNGE LLC- FUTURITY DRIVE RETAIL,1999 Futurity Drive,Sunland Park,NM,88063,$529.78,"$8,396.23","$8,926.01",October,2025,
SUNSHINE ESSENTIALS/ RETAIL MCNUTT,267 Anapra Rd,Sunland Park,NM,88063,"$1,143.42","$2,884.00","$4,027.42",October,2025,
SUNLAND MCNUTT GROUP LLC- MCNUTT RD RETAIL,1051 McNutt Rd,Sunland Park,NM,88063,"$39,147.04","$1,033,030.97","$1,072,178.01",October,2025,
SCORE 420 - MCNUTT RETAIL,2355 McNutt Road,Sunland Park,NM,88063,"$4,435.47","$60,437.31","$64,872.78",October,2025,
"ROUND HOUSE RESERVE, LLC - MCNUTT DR RETAIL",1165 McNutt Dr Unit C5,Sunland Park,NM,88063,"$2,235.32","$15,993.22","$18,228.54",October,2025,
"R GREENLEAF ORGANICS INC/ RETAIL APPALOOSA UNIT 1,2","1541 Appaloosas Unit 1, 2, Crossing Offices",Sunland Park,NM,88063,"$5,773.51","$99,046.29","$104,819.80",October,2025,
PROHIBITION 37 - MCNUTT RD RETAIL,871 McNutt Rd,Sunland Park,NM,88063,"$10,903.74","$103,183.88","$114,087.62",October,2025,
PECOS VALLEY PRODUCTION INC - APPALOOSA DR RETAIL,1925 Appaloosa Dr,Sunland Park,NM,88063,"$2,385.16","$48,155.12","$50,540.28",October,2025,
OLD GODS CANNABIS INC/ RETAIL APPALOOSA UNIT7,1541 Appaloosa Unit 7,Sunland Park,NM,88063,"$3,834.01","$144,301.07","$148,135.08",October,2025,
OBI WAN CANNABIS LLC,2167 McNutt Rd suite A,Sunland Park,NM,88063,$208.04,"$20,143.00","$20,351.04",October,2025,
NUVES LLC - RANCH ROAD RETAIL,101 Maguey Suite 4,Sunland Park,NM,88063,$283.05,"$30,385.47","$30,668.52",October,2025,
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  SUNLAND PARK RETAIL,1155 McNutt Road,Sunland Park,NM,88063,"$5,893.95","$31,668.82","$37,562.77",October,2025,
"NEBRO, LLC",1999 Futurity Drive Unit A,Sunland Park,NM,88063,"$2,830.11","$89,977.67","$92,807.78",October,2025,
J AND J LOAN COMPANY- MCNUTT RETAIL,1144 McNutt,Sunland Park,NM,88063,$291.25,"$58,575.87","$58,867.12",October,2025,
"GREEN LABS CANNABIS COMPANY, LLC- DERBY RD RETAIL",245 Derby Rd,Sunland Park,NM,88063,$149.98,"$29,787.44","$29,937.42",October,2025,
FIELDS OF DREAMS - SUNLAND PARK RETAIL,159 Sunland Park Dr,Sunland Park,NM,88063,"$11,530.56","$1,187,766.22","$1,199,296.78",October,2025,
EVEREST APOTHECARY,1580 Appaloosa Dr Ste 320,Sunland Park,NM,88063,"$2,428.86","$67,534.18","$69,963.04",October,2025,
DISPENSARY NEAR ME SUNLAND PARK LLC- MCNUTT RETAIL/CONSUMPTION,1290 McNutt Rd,Sunland Park,NM,88063,"$3,480.85","$54,157.45","$57,638.30",October,2025,
DIABLO BUDS GROW 1 LLC - APPALOOSA STE 6,1925 Appaloosa Ste 6,Sunland Park,NM,88063,,"$3,319.17","$3,319.17",October,2025,
CHADCOR HOLDINGS NM- RETAIL,1621 Appaloosa Dr,Sunland Park,NM,88063,"$15,698.97","$266,887.91","$282,586.88",October,2025,
"CHADCOR HOLDINGS NM, LLC",1615 Appaloosa Dr,Sunland Park,NM,88063,"$41,153.59","$972,985.11","$1,014,138.70",October,2025,
BLUE WHALE SUNLAND - APPALOOSA ST RETAIL,1500 Appaloosa St Suite B,Sunland Park,NM,88063,"$40,690.08","$603,638.50","$644,328.58",October,2025,
BESOS LLC/ RETAIL FUTURITY DR,1805 Futurity Dr,Sunland Park,NM,88603,"$1,041.12","$46,752.80","$47,793.92",October,2025,
APOGEE THERAPEUTICS LLC - RETAIL/CONSUMPTION,1769 Victory Ln,Sunland Park,NM,88063,"$2,092.43","$45,661.17","$47,753.60",October,2025,
ST CANAPA LLC - MCNUTT RD RETAIL,5305 McNutt Rd,Santa Teresa,NM,88008,$238.08,"$11,779.80","$12,017.88",October,2025,
HI LIFE DISPENSARY LLC - MCNUTT RD - RETAIL,5620 McNutt Rd,Santa Teresa,NM,88008,"$9,022.36","$46,278.16","$55,300.52",October,2025,
GARDEN OF DREAMS CANNABIS LLC,5300 Mcnutt Rd,Santa Teresa,NM,88008,"$1,554.45","$31,243.90","$32,798.35",October,2025,
FRESHIES LLC/ RETAIL MCNUTT RD,5325 McNutt Rd,Santa Teresa,NM,88008,"$4,510.58","$45,360.00","$49,870.58",October,2025,
TOP OF THE 8TH LLC - ANTHONY DRIVE RETAIL,401 Anthony Dr Ste B,Anthony,NM,88021,"$15,170.33","$54,663.92","$69,834.25",October,2025,
"RMC NM, INC - ANTHONY RETAIL",138 Anthony Dr,Anthony,NM,88021,"$14,855.48","$92,858.43","$107,713.91",October,2025,
RH AND MC LLC - MILLER ST RETAIL,103 Miller St,Anthony,NM,88021,"$6,209.38","$18,380.80","$24,590.17",October,2025,
"KUSHOLOGY 101 LLC - OHARA RD, RETAIL",1600 E OHara Rd,Anthony,NM,88021,"$1,063.13","$17,898.95","$18,962.08",October,2025,
STATELINE CANNABIS NM LLC-STEPHANIE RETAIL/CONS,101 Stephanie,Chaparral,NM,880081,"$2,409.52","$36,743.60","$39,153.12",October,2025,
STATELINE CANNABIS NM LLC - ARCH ANGEL WAY RETAILER/CONSUMPTION,100 Arch Angel Way,Chaparral,NM,88081,"$2,690.41","$183,611.42","$186,301.83",October,2025,
R R HEMPIRE LLC - ANGELINA BLVD RETAIL,101 Angelina Blvd,Chaparral,NM,88081,$220.48,"$7,591.37","$7,811.85",October,2025,
MEDD LLC - PALOMA BLANCA RETAIL,170 McCombs,Chaparral,NM,88081,"$2,808.04","$76,902.90","$79,710.94",October,2025,
GROTH INDUSTRIES LLC - SCHNEBERGER DR RETIAL,140 Schneberger Dr,Chaparral,NM,88081,"$1,592.05","$9,945.81","$11,537.86",October,2025,
"GREEN THERAPY DISPENSARY, LLC","460 County Line Drive, Space F",Chaparral,NM,88081,"$27,972.01","$463,366.41","$491,338.42",October,2025,
GANJIKA GARDENS LLC/ RETAIL RILEY WAY,1245 Riley Way,Chaparral,NM,88081,"$1,707.16","$20,484.30","$22,191.46",October,2025,
ASTRO BUDS LLC - MCCOMBS RD RETAIL,308 McCombs Rd Spc 2,Chaparral,NM,88081,"$12,683.02","$170,563.37","$183,246.39",October,2025,
AREA 54 DISPENSARY LLC- ANGELINA BLVD RETAIL,764 Angelina blvd,Chaparral,NM,88081,"$1,944.11","$20,977.10","$22,921.21",October,2025,
575 CANNABIS LLC- RETAIL 305 S COUNTY LINE,305 S County Line Dr,Chaparral,NM,88081,"$1,011.40","$8,585.62","$9,597.02",October,2025,
HOUSE OF FLOWERS ON THE BORDER LLC - RETAIL,1042 State Line,Chapparal,NM,88081,"$4,616.88","$79,094.04","$83,710.92",October,2025,
Licensee,Address,City,State,Zip, Medical Sales , Adult-Use Sales , Total Sales ,,,
URBAN WELLNESS - APPALOOSA DR RETAILER,1500 Appaloosa Dr Bldg A Ste 140,Sunland Park,NM,88063,"$1,227.97","$13,861.76","$15,089.73",November,2025,
TOKE IT UP DISPENSARY AND LOUNGE LLC- FUTURITY DRIVE RETAIL,1999 Futurity Drive,Sunland Park,NM,88063,"$2,123.36","$9,403.81","$11,527.17",November,2025,
SUNSHINE ESSENTIALS/ RETAIL MCNUTT,267 Anapra Rd,Sunland Park,NM,88063,$703.94,"$2,242.72","$2,946.67",November,2025,
SUNLAND MCNUTT GROUP LLC- MCNUTT RD RETAIL,1051 McNutt Rd,Sunland Park,NM,88063,"$42,995.06","$1,185,077.40","$1,228,072.46",November,2025,
SCORE 420 - MCNUTT RETAIL,2355 McNutt Road,Sunland Park,NM,88063,"$3,912.87","$50,083.41","$53,996.28",November,2025,
"ROUND HOUSE RESERVE, LLC - MCNUTT DR RETAIL",1165 McNutt Dr Unit C5,Sunland Park,NM,88063,"$1,870.54","$15,196.25","$17,066.79",November,2025,
"R GREENLEAF ORGANICS INC/ RETAIL APPALOOSA UNIT 1,2","1541 Appaloosas Unit 1, 2, Crossing Offices",Sunland Park,NM,88063,"$5,875.03","$86,306.76","$92,181.79",November,2025,
PROHIBITION 37 - MCNUTT RD RETAIL,871 McNutt Rd,Sunland Park,NM,88063,"$10,616.18","$92,868.57","$103,484.75",November,2025,
PECOS VALLEY PRODUCTION INC - APPALOOSA DR RETAIL,1925 Appaloosa Dr,Sunland Park,NM,88063,"$3,693.92","$60,869.42","$64,563.34",November,2025,
OLD GODS CANNABIS INC/ RETAIL APPALOOSA UNIT7,1541 Appaloosa Unit 7,Sunland Park,NM,88063,"$3,661.00","$137,649.77","$141,310.77",November,2025,
OCC ABQ LLC- N GRAND AVE,2201 N Grand Ave,Sunland Park,NM,87701,"$86,818.18","$124,924.92","$211,743.10",November,2025,
OBI WAN CANNABIS LLC,2167 McNutt Rd suite A,Sunland Park,NM,88063,$638.41,"$16,874.27","$17,512.68",November,2025,
NUVES LLC - RANCH ROAD RETAIL,101 Maguey Suite 4,Sunland Park,NM,88063,$170.79,"$28,665.00","$28,835.79",November,2025,
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  SUNLAND PARK RETAIL,1155 McNutt Road,Sunland Park,NM,88063,"$5,638.07","$29,899.64","$35,537.71",November,2025,
NEWBERRY FARMS LLC - MCNUTT RD. RETAIL,1845 McNutt Rd,Sunland Park,NM,88063,$103.63,"$3,698.43","$3,802.06",November,2025,
"NEBRO, LLC",1999 Futurity Drive Unit A,Sunland Park,NM,88063,"$2,888.08","$90,175.68","$93,063.76",November,2025,
J AND J LOAN COMPANY- MCNUTT RETAIL,1144 McNutt,Sunland Park,NM,88063,$109.43,"$56,831.34","$56,940.77",November,2025,
"GREEN LABS CANNABIS COMPANY, LLC- DERBY RD RETAIL",245 Derby Rd,Sunland Park,NM,88063,$142.75,"$25,283.42","$25,426.17",November,2025,
FIELDS OF DREAMS - SUNLAND PARK RETAIL,159 Sunland Park Dr,Sunland Park,NM,88063,"$11,991.48","$1,191,451.05","$1,203,442.53",November,2025,
EVEREST APOTHECARY,1580 Appaloosa Dr Ste 320,Sunland Park,NM,88063,"$3,727.33","$67,280.08","$71,007.41",November,2025,
DISPENSARY NEAR ME SUNLAND PARK LLC- MCNUTT RETAIL/CONSUMPTION,1290 McNutt Rd,Sunland Park,NM,88063,"$2,881.13","$57,113.16","$59,994.29",November,2025,
DIABLO BUDS GROW 1 LLC - APPALOOSA STE 6,1925 Appaloosa Ste 6,Sunland Park,NM,88063,,"$4,793.05","$4,793.05",November,2025,
CHADCOR HOLDINGS NM- RETAIL,1621 Appaloosa Dr,Sunland Park,NM,88063,"$14,684.36","$291,148.07","$305,832.43",November,2025,
"CHADCOR HOLDINGS NM, LLC",1615 Appaloosa Dr,Sunland Park,NM,88063,"$42,967.10","$1,002,422.46","$1,045,389.56",November,2025,
BLUE WHALE SUNLAND - APPALOOSA ST RETAIL,1500 Appaloosa St Suite B,Sunland Park,NM,88063,"$45,059.36","$628,587.67","$673,647.03",November,2025,
BESOS LLC/ RETAIL FUTURITY DR,1805 Futurity Dr,Sunland Park,NM,88603,"$1,014.15","$44,591.02","$45,605.17",November,2025,
APOGEE THERAPEUTICS LLC - RETAIL/CONSUMPTION,1769 Victory Ln,Sunland Park,NM,88063,"$2,393.46","$45,377.57","$47,771.03",November,2025,
TOP OF THE 8TH LLC - ANTHONY DRIVE RETAIL,401 Anthony Dr Ste B,Anthony,NM,88021,"$15,492.42","$48,539.62","$64,032.04",November,2025,
"RMC NM, INC - ANTHONY RETAIL",138 Anthony Dr,Anthony,NM,88021,"$15,184.15","$87,149.95","$102,334.10",November,2025,
RH AND MC LLC - MILLER ST RETAIL,103 Miller St,Anthony,NM,88021,"$3,931.51","$17,059.83","$20,991.34",November,2025,
"KUSHOLOGY 101 LLC - OHARA RD, RETAIL",1600 E OHara Rd,Anthony,NM,88021,$468.25,"$15,158.66","$15,626.91",November,2025,
STATELINE CANNABIS NM LLC-STEPHANIE RETAIL/CONS,101 Stephanie,Chaparral,NM,880081,$964.01,"$12,043.26","$13,007.27",November,2025,
STATELINE CANNABIS NM LLC - ARCH ANGEL WAY RETAILER/CONSUMPTION,100 Arch Angel Way,Chaparral,NM,88081,"$2,086.76","$178,727.22","$180,813.98",November,2025,
R R HEMPIRE LLC - ANGELINA BLVD RETAIL,101 Angelina Blvd,Chaparral,NM,88081,$62.00,"$6,362.71","$6,424.71",November,2025,
MEDD LLC - PALOMA BLANCA RETAIL,170 McCombs,Chaparral,NM,88081,"$2,729.07","$72,987.71","$75,716.78",November,2025,
GROTH INDUSTRIES LLC - SCHNEBERGER DR RETIAL,140 Schneberger Dr,Chaparral,NM,88081,"$2,149.33","$20,585.49","$22,734.82",November,2025,
"GREEN THERAPY DISPENSARY, LLC","460 County Line Drive, Space F",Chaparral,NM,88081,"$32,178.00","$467,497.81","$499,675.81",November,2025,
GANJIKA GARDENS LLC/ RETAIL RILEY WAY,1245 Riley Way,Chaparral,NM,88081,"$1,774.16","$18,798.46","$20,572.62",November,2025,
ASTRO BUDS LLC - MCCOMBS RD RETAIL,308 McCombs Rd Spc 2,Chaparral,NM,88081,"$11,651.87","$164,887.74","$176,539.61",November,2025,
AREA 54 DISPENSARY LLC- ANGELINA BLVD RETAIL,764 Angelina blvd,Chaparral,NM,88081,"$2,498.85","$19,955.60","$22,454.45",November,2025,
575 CANNABIS LLC- RETAIL 305 S COUNTY LINE,305 S County Line Dr,Chaparral,NM,88081,$438.59,"$8,297.84","$8,736.43",November,2025,
HOUSE OF FLOWERS ON THE BORDER LLC - RETAIL,1042 State Line,Chapparal,NM,88081,"$5,196.76","$81,570.42","$86,767.18",November,2025,
ST CANAPA LLC - MCNUTT RD RETAIL,5305 McNutt Rd,Santa Teresa,NM,88008,$527.04,"$13,619.51","$14,146.55",November,2025,
HI LIFE DISPENSARY LLC - MCNUTT RD - RETAIL,5620 McNutt Rd,Santa Teresa,NM,88008,"$7,855.08","$49,814.19","$57,669.27",November,2025,
GARDEN OF DREAMS CANNABIS LLC,5300 Mcnutt Rd,Santa Teresa,NM,88008,"$1,432.68","$31,815.95","$33,248.63",November,2025,
FRESHIES LLC/ RETAIL MCNUTT RD,5325 McNutt Rd,Santa Teresa,NM,88008,"$3,838.49","$43,123.20","$46,961.69",November,2025,
Licensee,Address,City,State,Zip, Medical Sales , Adult-Use Sales , Total Sales ,,,
