Licensee,Total Sales,Adult-Use Sales,Medical Sales,Address,City,State,Zip,Month,Year,Standardized DBA
GARDEN OF DREAMS CANNABIS LLC,"$32,431.72","$30,382.93","$2,048.79",5300 Mcnutt Rd,Santa Teresa,NM,88008,July,2025,Garden of Dreams
TEN 10 PROJECT LLC- APPOLOOSA DR RETAIL,"$31,724.80","$31,448.30",$276.50,1925 Appoloosa Dr,Sunland Park,NM,88063,July,2025,TenTen
"KUSHOLOGY 101 LLC - OHARA RD, RETAIL","$27,121.57","$25,196.40","$1,925.17",1600 E OHara Rd,Anthony,NM,88021,July,2025,Kushology 101
OBI WAN CANNABIS LLC,"$26,043.13","$25,564.48",$478.65,2167 McNutt Rd suite A,Sunland Park,NM,88063,July,2025,Obi Wan Cannabis
RH AND MC LLC - MILLER ST RETAIL,"$25,683.78","$20,513.97","$5,169.80",103 Miller St,Anthony,NM,88021,July,2025,Milla Cero
THE GREEN MATRIX - S HIGHWAY 28 RETAIL,"$24,683.53","$21,767.33","$2,916.20",3100 S Highway 28,Anthony,NM,88021,July,2025,Green Matrix
ST CANAPA LLC - MCNUTT RD RETAIL,"$21,418.75","$20,707.84",$710.91,5305 McNutt Rd,Santa Teresa,NM,88008,July,2025,St Canapa
GANJIKA GARDENS LLC/ RETAIL RILEY WAY,"$20,010.28","$18,066.31","$1,943.97",1245 Riley Way,Chaparral,NM,88081,July,2025,Ganjika Gardens
AREA 54 DISPENSARY LLC- ANGELINA BLVD RETAIL,"$15,331.77","$13,596.03","$1,735.74",764 Angelina blvd,Chaparral,NM,88081,July,2025,Area 54
R R HEMPIRE LLC - ANGELINA BLVD RETAIL,"$12,549.52","$11,929.23",$620.29,101 Angelina Blvd,Chaparral,NM,88081,July,2025,Richy Rich
"ROUND HOUSE RESERVE, LLC - MCNUTT DR RETAIL","$11,458.08","$10,177.89","$1,280.19",1165 McNutt Dr Unit C5,Sunland Park,NM,88063,July,2025,Round House Reserve
STATELINE CANNABIS NM LLC-STEPHANIE RETAIL/CONS,"$9,524.11","$9,524.11",$0.00,101 Stephanie,Chaparral,NM,880081,July,2025,Stateline Cannabis
GROTH INDUSTRIES LLC - SCHNEBERGER DR RETIAL,"$8,340.36","$6,987.51","$1,352.85",140 Schneberger Dr,Chaparral,NM,88081,July,2025,Groth
SUNSHINE ESSENTIALS/ RETAIL MCNUTT,"$4,008.29","$3,293.19",$715.10,267 Anapra Rd,Sunland Park,NM,88063,July,2025,Sunshine Essentials
ERB HOLDINGS/ RETAIL OHARA ROAD,"$1,974.90","$1,702.48",$272.42,1400 E Ohara Road,Anthony,NM,88021,July,2025,Kushology 101
575 CANNABIS LLC- RETAIL 305 S COUNTY LINE,"$1,824.97","$1,684.77",$140.20,305 S County Line Dr,Chaparral,NM,88081,July,2025,Uforia
YERBAVIVA LLC/ RETAIL MCNUTT STE D,$980.21,$304.12,$676.09,2327 McNutt Ste D,Sunland Park,NM,88063,July,2025,Yerba Viva
HI LIFE DISPENSARY LLC - MCNUTT RD - RETAIL,$12.36,$12.36,$0.00,5620 McNutt Rd,Santa Teresa,NM,88008,July,2025,Hi Life
TWISTED CANNABIS- VICTORY DR RETAIL,$505.00,$505.00,$0.00,1979 Victory Dr Ste 9,Sunland Park,NM,88063,August,2025,Twisted Cannabis
SUNSHINE ESSENTIALS/ RETAIL MCNUTT,"$4,467.63","$3,777.59",$690.04,267 Anapra Rd,Sunland Park,NM,88063,August,2025,Sunshine Essentials
SUNLAND MCNUTT GROUP LLC- MCNUTT RD RETAIL,"$921,498.13","$885,873.32","$35,624.82",1051 McNutt Rd,Sunland Park,NM,88063,August,2025,Mango Cannabis
SCORE 420 - MCNUTT RETAIL,"$66,428.81","$61,797.81","$4,631.00",2355 McNutt Road,Sunland Park,NM,88063,August,2025,Score 420
"ROUND HOUSE RESERVE, LLC - MCNUTT DR RETAIL","$13,306.03","$12,223.99","$1,082.04",1165 McNutt Dr Unit C5,Sunland Park,NM,88063,August,2025,Round House Reserve
"R GREENLEAF ORGANICS INC/ RETAIL APPALOOSA UNIT 1,2","$102,398.85","$96,279.78","$6,119.07","1541 Appaloosas Unit 1, 2, Crossing Offices",Sunland Park,NM,88063,August,2025,R Greenleaf
PROHIBITION 37 - MCNUTT RD RETAIL,"$96,009.83","$86,463.32","$9,546.51",871 McNutt Rd,Sunland Park,NM,88063,August,2025,Prohibition 37
PECOS VALLEY PRODUCTION INC - APPALOOSA DR RETAIL,"$64,066.60","$61,003.94","$3,062.66",1925 Appaloosa Dr,Sunland Park,NM,88063,August,2025,Pecos Valley Production
OLD GODS CANNABIS INC/ RETAIL APPALOOSA UNIT7,"$137,775.93","$135,299.83","$2,476.10",1541 Appaloosa Unit 7,Sunland Park,NM,88063,August,2025,Old Gods
OBI WAN CANNABIS LLC,"$22,587.84","$22,330.17",$257.67,2167 McNutt Rd suite A,Sunland Park,NM,88063,August,2025,Obi Wan Cannabis
NUVES LLC - RANCH ROAD RETAIL,"$34,702.13","$34,684.15",$17.98,101 Maguey Suite 4,Sunland Park,NM,88063,August,2025,Greens
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  SUNLAND PARK RETAIL,"$37,403.01","$30,602.10","$6,800.91",1155 McNutt Road,Sunland Park,NM,88063,August,2025,Ultra Health
"Elevation - NEBRO, LLC","$88,778.38","$84,881.70","$3,896.68",1999 Futurity Drive Unit A,Sunland Park,NM,88063,August,2025,Elevation 3789
Empire - J AND J LOAN COMPANY- MCNUTT RETAIL,"$65,156.03","$64,949.18",$206.85,1144 McNutt,Sunland Park,NM,88063,August,2025,Empire Garden
"GREEN LABS CANNABIS COMPANY, LLC- DERBY RD RETAIL","$36,573.57","$36,389.99",$183.58,245 Derby Rd,Sunland Park,NM,88063,August,2025,Green Labs
FIELDS OF DREAMS - SUNLAND PARK RETAIL,"$1,156,727.30","$1,145,777.29","$10,950.01",159 Sunland Park Dr,Sunland Park,NM,88063,August,2025,Field of Dreams
EVEREST APOTHECARY,"$82,115.65","$78,226.13","$3,889.52",1580 Appaloosa Dr Ste 320,Sunland Park,NM,88063,August,2025,Everest
DISPENSARY NEAR ME SUNLAND PARK LLC- MCNUTT RETAIL/CONSUMPTION,"$65,045.27","$60,347.66","$4,697.61",1290 McNutt Rd,Sunland Park,NM,88063,August,2025,Dispensary Near Me
CHADCOR HOLDINGS NM- RETAIL,"$299,700.26","$286,300.35","$13,399.91",1621 Appaloosa Dr,Sunland Park,NM,88063,August,2025,Cardiel
"CHADCOR HOLDINGS NM, LLC","$1,084,654.47","$1,036,047.13","$48,607.34",1615 Appaloosa Dr,Sunland Park,NM,88063,August,2025,Dark Matter
BLUE WHALE SUNLAND - APPALOOSA ST RETAIL,"$721,752.96","$674,810.24","$46,942.72",1500 Appaloosa St Suite B,Sunland Park,NM,88063,August,2025,Cookies
BESOS LLC/ RETAIL FUTURITY DR,"$50,071.80","$48,359.81","$1,711.99",1805 Futurity Dr,Sunland Park,NM,88063,August,2025,Besos
APOGEE THERAPEUTICS LLC - RETAIL/CONSUMPTION,"$37,841.02","$36,340.70","$1,500.32",1769 Victory Ln,Sunland Park,NM,88063,August,2025,Apogee
ST CANAPA LLC - MCNUTT RD RETAIL,"$19,614.80","$18,777.68",$837.12,5305 McNutt Rd,Santa Teresa,NM,88008,August,2025,St Canapa
HI LIFE DISPENSARY LLC - MCNUTT RD - RETAIL,"$31,001.85","$26,188.25","$4,813.60",5620 McNutt Rd,Santa Teresa,NM,88008,August,2025,Hi Life
GARDEN OF DREAMS CANNABIS LLC,"$32,551.71","$30,177.31","$2,374.40",5300 Mcnutt Rd,Santa Teresa,NM,88008,August,2025,Garden of Dreams
FRESHIES LLC/ RETAIL MCNUTT RD,"$44,022.06","$38,652.63","$5,369.43",5325 McNutt Rd,Santa Teresa,NM,88008,August,2025,Public Affair
TOP OF THE 8TH LLC - ANTHONY DRIVE RETAIL,"$71,925.03","$59,141.48","$12,783.55",401 Anthony Dr Ste B,Anthony,NM,88021,August,2025,Top of the Eighth
THE GREEN MATRIX - S HIGHWAY 28 RETAIL,"$27,940.57","$22,324.55","$5,616.02",3100 S Highway 28,Anthony,NM,88021,August,2025,Green Matrix
"RMC NM, INC - ANTHONY RETAIL","$97,029.40","$82,100.18","$14,929.22",138 Anthony Dr,Anthony,NM,88021,August,2025,Rocky Mountain Cannabis
RH AND MC LLC - MILLER ST RETAIL,"$26,050.64","$19,986.97","$6,063.67",103 Miller St,Anthony,NM,88021,August,2025,Milla Cero
"KUSHOLOGY 101 LLC - OHARA RD, RETAIL","$21,939.22","$20,531.39","$1,407.83",1600 E OHara Rd,Anthony,NM,88021,August,2025,Kushology 101
STATELINE CANNABIS NM LLC-STEPHANIE RETAIL/CONS,"$29,006.99","$27,806.13","$1,200.86",101 Stephanie,Chaparral,NM,880081,August,2025,Stateline Cannabis
STATELINE CANNABIS NM LLC - ARCH ANGEL WAY RETAILER/CONSUMPTION,"$178,630.08","$176,451.11","$2,178.97",100 Arch Angel Way,Chaparral,NM,88081,August,2025,High Valley Cannabis
R R HEMPIRE LLC - ANGELINA BLVD RETAIL,"$10,566.41","$10,042.25",$524.16,101 Angelina Blvd,Chaparral,NM,88081,August,2025,Richy Rich
MEDD LLC - PALOMA BLANCA RETAIL,"$85,245.77","$81,641.78","$3,603.99",170 McCombs,Chaparral,NM,88081,August,2025,Pure Medd
HOUSE OF FLOWERS ON THE BORDER LLC - MANU,$8.18,$0.00,$8.18,1042 State Line,Chaparral,NM,88081,August,2025,House of Flowers
GROTH INDUSTRIES LLC - SCHNEBERGER DR RETIAL,"$8,137.35","$7,172.14",$965.21,140 Schneberger Dr,Chaparral,NM,88081,August,2025,Groth
"GREEN THERAPY DISPENSARY, LLC","$428,476.41","$397,923.88","$30,552.53","460 County Line Drive, Space F",Chaparral,NM,88081,August,2025,Green Therapy
GANJIKA GARDENS LLC/ RETAIL RILEY WAY,"$20,043.72","$18,510.28","$1,533.44",1245 Riley Way,Chaparral,NM,88081,August,2025,Ganjika Gardens
ASTRO BUDS LLC - MCCOMBS RD RETAIL,"$211,913.63","$197,622.90","$14,290.73",308 McCombs Rd Spc 2,Chaparral,NM,88081,August,2025,Astro Buds Dispensary
AREA 54 DISPENSARY LLC- ANGELINA BLVD RETAIL,"$17,511.86","$16,016.05","$1,495.81",764 Angelina blvd,Chaparral,NM,88081,August,2025,Area 54
575 CANNABIS LLC- RETAIL 305 S COUNTY LINE,"$6,870.00","$6,485.90",$384.10,305 S County Line Dr,Chaparral,NM,88081,August,2025,Uforia
HOUSE OF FLOWERS ON THE BORDER LLC - RETAIL,"$74,748.36","$70,770.34","$3,978.02",1042 State Line,Chaparral,NM,88081,August,2025,House of Flowers
575 CANNABIS LLC- RETAIL 305 S COUNTY LINE,"$9,475.57","$8,211.43","$1,264.14",305 S County Line Dr,Chaparral,NM,88081,September,2025,Uforia
APOGEE THERAPEUTICS LLC - RETAIL/CONSUMPTION,"$45,543.34","$42,688.29","$2,855.05",1769 Victory Ln,Sunland Park,NM,88063,September,2025,Apogee
AREA 54 DISPENSARY LLC- ANGELINA BLVD RETAIL,"$23,621.77","$20,939.15","$2,682.62",764 Angelina blvd,Chaparral,NM,88081,September,2025,Area 54
ASTRO BUDS LLC - MCCOMBS RD RETAIL,"$188,348.30","$177,562.82","$10,785.48",308 McCombs Rd Spc 2,Chaparral,NM,88081,September,2025,Astro Buds Dispensary
BESOS LLC/ RETAIL FUTURITY DR,"$41,334.06","$39,896.49","$1,437.57",1805 Futurity Dr,Sunland Park,NM,88603,September,2025,Besos
BLUE WHALE SUNLAND - APPALOOSA ST RETAIL,"$639,857.17","$599,407.31","$40,449.86",1500 Appaloosa St Suite B,Sunland Park,NM,88063,September,2025,Cookies
"CHADCOR HOLDINGS NM, LLC","$985,516.28","$939,763.84","$45,752.44",1615 Appaloosa Dr,Sunland Park,NM,88063,September,2025,Dark Matter
CHADCOR HOLDINGS NM- RETAIL,"$259,138.30","$247,715.72","$11,422.58",1621 Appaloosa Dr,Sunland Park,NM,88063,September,2025,Cardiel
DIABLO BUDS GROW 1 LLC - APPALOOSA STE 6,$611.82,$586.82,$25.00,1925 Appaloosa Ste 6,Sunland Park,NM,88063,September,2025,Black Sheep
DISPENSARY NEAR ME SUNLAND PARK LLC- MCNUTT RETAIL/CONSUMPTION,"$62,626.27","$58,475.03","$4,151.24",1290 McNutt Rd,Sunland Park,NM,88063,September,2025,Dispensary Near Me
EVEREST APOTHECARY,"$71,031.88","$67,791.11","$3,240.77",1580 Appaloosa Dr Ste 320,Sunland Park,NM,88063,September,2025,Everest
FIELDS OF DREAMS - SUNLAND PARK RETAIL,"$1,110,607.08","$1,099,186.43","$11,420.65",159 Sunland Park Dr,Sunland Park,NM,88063,September,2025,Field of Dreams
FRESHIES LLC/ RETAIL MCNUTT RD,"$46,686.01","$41,784.51","$4,901.50",5325 McNutt Rd,Santa Teresa,NM,88008,September,2025,Public Affair
GANJIKA GARDENS LLC/ RETAIL RILEY WAY,"$19,233.57","$18,032.18","$1,201.39",1245 Riley Way,Chaparral,NM,88081,September,2025,Ganjika Gardens
GARDEN OF DREAMS CANNABIS LLC,"$36,113.67","$34,253.93","$1,859.74",5300 Mcnutt Rd,Santa Teresa,NM,88008,September,2025,Garden of Dreams
"GREEN LABS CANNABIS COMPANY, LLC- DERBY RD RETAIL","$31,399.75","$31,185.37",$214.38,245 Derby Rd,Sunland Park,NM,88063,September,2025,Green Labs
"GREEN THERAPY DISPENSARY, LLC","$470,559.34","$437,093.32","$33,466.02","460 County Line Drive, Space F",Chaparral,NM,88081,September,2025,Green Therapy
GROTH INDUSTRIES LLC - SCHNEBERGER DR RETIAL,"$8,085.37","$7,067.60","$1,017.77",140 Schneberger Dr,Chaparral,NM,88081,September,2025,Groth
HI LIFE DISPENSARY LLC - MCNUTT RD - RETAIL,"$52,690.23","$46,440.84","$6,249.39",5620 McNutt Rd,Santa Teresa,NM,88008,September,2025,Hi Life
HOUSE OF FLOWERS ON THE BORDER LLC - MANU,$8.38,,$8.38,1042 State Line,Chaparral,NM,88081,September,2025,House of Flowers
HOUSE OF FLOWERS ON THE BORDER LLC - RETAIL,"$77,302.99","$73,412.62","$3,890.37",1042 State Line,Chapparal,NM,88081,September,2025,House of Flowers
J AND J LOAN COMPANY- MCNUTT RETAIL,"$51,399.94","$51,180.51",$219.43,1144 McNutt,Sunland Park,NM,88063,September,2025,Empire Garden
"KUSHOLOGY 101 LLC - OHARA RD, RETAIL","$18,734.74","$17,907.01",$827.73,1600 E OHara Rd,Anthony,NM,88021,September,2025,Kushology 101
MEDD LLC - PALOMA BLANCA RETAIL,"$79,976.54","$76,950.59","$3,025.95",170 McCombs,Chaparral,NM,88081,September,2025,Pure Medd
"NEBRO, LLC","$79,369.28","$75,935.77","$3,433.51",1999 Futurity Drive Unit A,Sunland Park,NM,88063,September,2025,Elevation 3789
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  SUNLAND PARK RETAIL,"$30,178.37","$25,131.72","$5,046.65",1155 McNutt Road,Sunland Park,NM,88063,September,2025,Ultra Health
NUVES LLC - RANCH ROAD RETAIL,"$30,714.89","$30,535.90",$178.99,101 Maguey Suite 4,Sunland Park,NM,88063,September,2025,Greens
OBI WAN CANNABIS LLC,"$18,471.42","$17,313.99","$1,157.43",2167 McNutt Rd suite A,Sunland Park,NM,88063,September,2025,Obi Wan Cannabis
OLD GODS CANNABIS INC/ RETAIL APPALOOSA UNIT7,"$127,627.72","$125,245.71","$2,382.01",1541 Appaloosa Unit 7,Sunland Park,NM,88063,September,2025,Old Gods
PECOS VALLEY PRODUCTION INC - APPALOOSA DR RETAIL,"$45,590.33","$43,233.47","$2,356.86",1925 Appaloosa Dr,Sunland Park,NM,88063,September,2025,Pecos Valley Production
PROHIBITION 37 - MCNUTT RD RETAIL,"$102,966.76","$93,454.87","$9,511.89",871 McNutt Rd,Sunland Park,NM,88063,September,2025,Prohibition 37
"R GREENLEAF ORGANICS INC/ RETAIL APPALOOSA UNIT 1,2","$99,710.87","$93,883.90","$5,826.97","1541 Appaloosas Unit 1, 2, Crossing Offices",Sunland Park,NM,88063,September,2025,R Greenleaf
RH AND MC LLC - MILLER ST RETAIL,"$24,295.93","$18,972.40","$5,323.53",103 Miller St,Anthony,NM,88021,September,2025,Milla Cero
"RMC NM, INC - ANTHONY RETAIL","$97,241.70","$82,389.12","$14,852.58",138 Anthony Dr,Anthony,NM,88021,September,2025,Rocky Mountain Cannabis
"ROUND HOUSE RESERVE, LLC - MCNUTT DR RETAIL","$10,741.04","$9,459.37","$1,281.67",1165 McNutt Dr Unit C5,Sunland Park,NM,88063,September,2025,Round House Reserve
R R HEMPIRE LLC - ANGELINA BLVD RETAIL,"$8,518.16","$8,374.46",$143.70,101 Angelina Blvd,Chaparral,NM,88081,September,2025,Richy Rich
SCORE 420 - MCNUTT RETAIL,"$63,629.50","$59,032.70","$4,596.80",2355 McNutt Road,Sunland Park,NM,88063,September,2025,Score 420
STATELINE CANNABIS NM LLC - ARCH ANGEL WAY RETAILER/CONSUMPTION,"$185,974.84","$183,410.07","$2,564.77",100 Arch Angel Way,Chaparral,NM,88081,September,2025,High Valley Cannabis
STATELINE CANNABIS NM LLC-STEPHANIE RETAIL/CONS,"$30,448.96","$29,297.27","$1,151.69",101 Stephanie,Chaparral,NM,880081,September,2025,Stateline Cannabis
ST CANAPA LLC - MCNUTT RD RETAIL,"$14,876.37","$14,061.56",$814.81,5305 McNutt Rd,Santa Teresa,NM,88008,September,2025,St Canapa
SUNLAND MCNUTT GROUP LLC- MCNUTT RD RETAIL,"$922,380.84","$890,310.56","$32,070.28",1051 McNutt Rd,Sunland Park,NM,88063,September,2025,Mango Cannabis
SUNSHINE ESSENTIALS/ RETAIL MCNUTT,"$4,011.86","$3,193.85",$818.01,267 Anapra Rd,Sunland Park,NM,88063,September,2025,Sunshine Essentials
TOKE IT UP DISPENSARY AND LOUNGE LLC- FUTURITY DRIVE RETAIL,"$2,996.46","$2,750.20",$246.26,1999 Futurity Drive,Sunland Park,NM,88063,September,2025,Toke It Up
TOP OF THE 8TH LLC - ANTHONY DRIVE RETAIL,"$65,309.41","$53,354.67","$11,954.74",401 Anthony Dr Ste B,Anthony,NM,88021,September,2025,Top of the Eighth
TOKE IT UP DISPENSARY AND LOUNGE LLC- FUTURITY DRIVE RETAIL,"$8,926.01","$8,396.23",$529.78,1999 Futurity Drive,Sunland Park,NM,88063,October,2025,Toke It Up
SUNSHINE ESSENTIALS/ RETAIL MCNUTT,"$4,027.42","$2,884.00","$1,143.42",267 Anapra Rd,Sunland Park,NM,88063,October,2025,Sunshine Essentials
SUNLAND MCNUTT GROUP LLC- MCNUTT RD RETAIL,"$1,072,178.01","$1,033,030.97","$39,147.04",1051 McNutt Rd,Sunland Park,NM,88063,October,2025,Mango Cannabis
SCORE 420 - MCNUTT RETAIL,"$64,872.78","$60,437.31","$4,435.47",2355 McNutt Road,Sunland Park,NM,88063,October,2025,Score 420
"ROUND HOUSE RESERVE, LLC - MCNUTT DR RETAIL","$18,228.54","$15,993.22","$2,235.32",1165 McNutt Dr Unit C5,Sunland Park,NM,88063,October,2025,Round House Reserve
"R GREENLEAF ORGANICS INC/ RETAIL APPALOOSA UNIT 1,2","$104,819.80","$99,046.29","$5,773.51","1541 Appaloosas Unit 1, 2, Crossing Offices",Sunland Park,NM,88063,October,2025,R Greenleaf
PROHIBITION 37 - MCNUTT RD RETAIL,"$114,087.62","$103,183.88","$10,903.74",871 McNutt Rd,Sunland Park,NM,88063,October,2025,Prohibition 37
PECOS VALLEY PRODUCTION INC - APPALOOSA DR RETAIL,"$50,540.28","$48,155.12","$2,385.16",1925 Appaloosa Dr,Sunland Park,NM,88063,October,2025,Pecos Valley Production
OLD GODS CANNABIS INC/ RETAIL APPALOOSA UNIT7,"$148,135.08","$144,301.07","$3,834.01",1541 Appaloosa Unit 7,Sunland Park,NM,88063,October,2025,Old Gods
OBI WAN CANNABIS LLC,"$20,351.04","$20,143.00",$208.04,2167 McNutt Rd suite A,Sunland Park,NM,88063,October,2025,Obi Wan Cannabis
NUVES LLC - RANCH ROAD RETAIL,"$30,668.52","$30,385.47",$283.05,101 Maguey Suite 4,Sunland Park,NM,88063,October,2025,Greens
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  SUNLAND PARK RETAIL,"$37,562.77","$31,668.82","$5,893.95",1155 McNutt Road,Sunland Park,NM,88063,October,2025,Ultra Health
"NEBRO, LLC","$92,807.78","$89,977.67","$2,830.11",1999 Futurity Drive Unit A,Sunland Park,NM,88063,October,2025,Elevation 3789
J AND J LOAN COMPANY- MCNUTT RETAIL,"$58,867.12","$58,575.87",$291.25,1144 McNutt,Sunland Park,NM,88063,October,2025,Empire Garden
"GREEN LABS CANNABIS COMPANY, LLC- DERBY RD RETAIL","$29,937.42","$29,787.44",$149.98,245 Derby Rd,Sunland Park,NM,88063,October,2025,Green Labs
FIELDS OF DREAMS - SUNLAND PARK RETAIL,"$1,199,296.78","$1,187,766.22","$11,530.56",159 Sunland Park Dr,Sunland Park,NM,88063,October,2025,Field of Dreams
EVEREST APOTHECARY,"$69,963.04","$67,534.18","$2,428.86",1580 Appaloosa Dr Ste 320,Sunland Park,NM,88063,October,2025,Everest
DISPENSARY NEAR ME SUNLAND PARK LLC- MCNUTT RETAIL/CONSUMPTION,"$57,638.30","$54,157.45","$3,480.85",1290 McNutt Rd,Sunland Park,NM,88063,October,2025,Dispensary Near Me
DIABLO BUDS GROW 1 LLC - APPALOOSA STE 6,"$3,319.17","$3,319.17",$0.00,1925 Appaloosa Ste 6,Sunland Park,NM,88063,October,2025,Black Sheep
CHADCOR HOLDINGS NM- RETAIL,"$282,586.88","$266,887.91","$15,698.97",1621 Appaloosa Dr,Sunland Park,NM,88063,October,2025,Cardiel
"CHADCOR HOLDINGS NM, LLC","$1,014,138.70","$972,985.11","$41,153.59",1615 Appaloosa Dr,Sunland Park,NM,88063,October,2025,Dark Matter
BLUE WHALE SUNLAND - APPALOOSA ST RETAIL,"$644,328.58","$603,638.50","$40,690.08",1500 Appaloosa St Suite B,Sunland Park,NM,88063,October,2025,Cookies
BESOS LLC/ RETAIL FUTURITY DR,"$47,793.92","$46,752.80","$1,041.12",1805 Futurity Dr,Sunland Park,NM,88603,October,2025,Besos
APOGEE THERAPEUTICS LLC - RETAIL/CONSUMPTION,"$47,753.60","$45,661.17","$2,092.43",1769 Victory Ln,Sunland Park,NM,88063,October,2025,Apogee
ST CANAPA LLC - MCNUTT RD RETAIL,"$12,017.88","$11,779.80",$238.08,5305 McNutt Rd,Santa Teresa,NM,88008,October,2025,St Canapa
HI LIFE DISPENSARY LLC - MCNUTT RD - RETAIL,"$55,300.52","$46,278.16","$9,022.36",5620 McNutt Rd,Santa Teresa,NM,88008,October,2025,Hi Life
GARDEN OF DREAMS CANNABIS LLC,"$32,798.35","$31,243.90","$1,554.45",5300 Mcnutt Rd,Santa Teresa,NM,88008,October,2025,Garden of Dreams
FRESHIES LLC/ RETAIL MCNUTT RD,"$49,870.58","$45,360.00","$4,510.58",5325 McNutt Rd,Santa Teresa,NM,88008,October,2025,Public Affair
TOP OF THE 8TH LLC - ANTHONY DRIVE RETAIL,"$69,834.25","$54,663.92","$15,170.33",401 Anthony Dr Ste B,Anthony,NM,88021,October,2025,Top of the Eighth
"RMC NM, INC - ANTHONY RETAIL","$107,713.91","$92,858.43","$14,855.48",138 Anthony Dr,Anthony,NM,88021,October,2025,Rocky Mountain Cannabis
RH AND MC LLC - MILLER ST RETAIL,"$24,590.17","$18,380.80","$6,209.38",103 Miller St,Anthony,NM,88021,October,2025,Milla Cero
"KUSHOLOGY 101 LLC - OHARA RD, RETAIL","$18,962.08","$17,898.95","$1,063.13",1600 E OHara Rd,Anthony,NM,88021,October,2025,Kushology 101
STATELINE CANNABIS NM LLC-STEPHANIE RETAIL/CONS,"$39,153.12","$36,743.60","$2,409.52",101 Stephanie,Chaparral,NM,880081,October,2025,Stateline Cannabis
STATELINE CANNABIS NM LLC - ARCH ANGEL WAY RETAILER/CONSUMPTION,"$186,301.83","$183,611.42","$2,690.41",100 Arch Angel Way,Chaparral,NM,88081,October,2025,High Valley Cannabis
R R HEMPIRE LLC - ANGELINA BLVD RETAIL,"$7,811.85","$7,591.37",$220.48,101 Angelina Blvd,Chaparral,NM,88081,October,2025,Richy Rich
MEDD LLC - PALOMA BLANCA RETAIL,"$79,710.94","$76,902.90","$2,808.04",170 McCombs,Chaparral,NM,88081,October,2025,Pure Medd
GROTH INDUSTRIES LLC - SCHNEBERGER DR RETIAL,"$11,537.86","$9,945.81","$1,592.05",140 Schneberger Dr,Chaparral,NM,88081,October,2025,Groth
"GREEN THERAPY DISPENSARY, LLC","$491,338.42","$463,366.41","$27,972.01","460 County Line Drive, Space F",Chaparral,NM,88081,October,2025,Green Therapy
GANJIKA GARDENS LLC/ RETAIL RILEY WAY,"$22,191.46","$20,484.30","$1,707.16",1245 Riley Way,Chaparral,NM,88081,October,2025,Ganjika Gardens
ASTRO BUDS LLC - MCCOMBS RD RETAIL,"$183,246.39","$170,563.37","$12,683.02",308 McCombs Rd Spc 2,Chaparral,NM,88081,October,2025,Astro Buds Dispensary
AREA 54 DISPENSARY LLC- ANGELINA BLVD RETAIL,"$22,921.21","$20,977.10","$1,944.11",764 Angelina blvd,Chaparral,NM,88081,October,2025,Area 54
575 CANNABIS LLC- RETAIL 305 S COUNTY LINE,"$9,597.02","$8,585.62","$1,011.40",305 S County Line Dr,Chaparral,NM,88081,October,2025,Uforia
HOUSE OF FLOWERS ON THE BORDER LLC - RETAIL,"$83,710.92","$79,094.04","$4,616.88",1042 State Line,Chapparal,NM,88081,October,2025,House of Flowers
URBAN WELLNESS - APPALOOSA DR RETAILER,"$15,089.73","$13,861.76","$1,227.97",1500 Appaloosa Dr Bldg A Ste 140,Sunland Park,NM,88063,November,2025,Urban Wellness
TOKE IT UP DISPENSARY AND LOUNGE LLC- FUTURITY DRIVE RETAIL,"$11,527.17","$9,403.81","$2,123.36",1999 Futurity Drive,Sunland Park,NM,88063,November,2025,Toke It Up
SUNSHINE ESSENTIALS/ RETAIL MCNUTT,"$2,946.67","$2,242.72",$703.94,267 Anapra Rd,Sunland Park,NM,88063,November,2025,Sunshine Essentials
SUNLAND MCNUTT GROUP LLC- MCNUTT RD RETAIL,"$1,228,072.46","$1,185,077.40","$42,995.06",1051 McNutt Rd,Sunland Park,NM,88063,November,2025,Mango Cannabis
SCORE 420 - MCNUTT RETAIL,"$53,996.28","$50,083.41","$3,912.87",2355 McNutt Road,Sunland Park,NM,88063,November,2025,Score 420
"ROUND HOUSE RESERVE, LLC - MCNUTT DR RETAIL","$17,066.79","$15,196.25","$1,870.54",1165 McNutt Dr Unit C5,Sunland Park,NM,88063,November,2025,Round House Reserve
"R GREENLEAF ORGANICS INC/ RETAIL APPALOOSA UNIT 1,2","$92,181.79","$86,306.76","$5,875.03","1541 Appaloosas Unit 1, 2, Crossing Offices",Sunland Park,NM,88063,November,2025,R Greenleaf
PROHIBITION 37 - MCNUTT RD RETAIL,"$103,484.75","$92,868.57","$10,616.18",871 McNutt Rd,Sunland Park,NM,88063,November,2025,Prohibition 37
PECOS VALLEY PRODUCTION INC - APPALOOSA DR RETAIL,"$64,563.34","$60,869.42","$3,693.92",1925 Appaloosa Dr,Sunland Park,NM,88063,November,2025,Pecos Valley Production
OLD GODS CANNABIS INC/ RETAIL APPALOOSA UNIT7,"$141,310.77","$137,649.77","$3,661.00",1541 Appaloosa Unit 7,Sunland Park,NM,88063,November,2025,Old Gods
OBI WAN CANNABIS LLC,"$17,512.68","$16,874.27",$638.41,2167 McNutt Rd suite A,Sunland Park,NM,88063,November,2025,Obi Wan Cannabis
