Licensee,Total Sales,Adult-Use Sales,Medical Sales,Address,City,State,Zip,Month,Year,Standardized DBA
BESOS LLC/ RETAIL FUTURITY DR,"$71,422.24","$69,228.67","$2,193.57",1805 Futurity Dr,Sunland Park,NM,88063,March,2025,Besos
BLUE WHALE SUNLAND - APPALOOSA ST RETAIL,"$740,753.04","$690,167.39","$50,585.65",1500 Appaloosa St Suite B,Sunland Park,NM,88063,March,2025,Cookies
CARDIEL BOTANICA LTD CO - MCNUTT RD RETAIL,"$8,270.31","$7,554.46",$715.85,1685 McNutt,Sunland Park,NM,88063,March,2025,Cardiel Cannabis
"CHADCOR HOLDINGS NM, LLC","$1,232,353.99","$1,188,078.66","$44,275.33",1615 Appaloosa Dr,Sunland Park,NM,88063,March,2025,Dark Matter
CHADCOR HOLDINGS NM- RETAIL,"$65,140.71","$57,050.40","$8,090.31",1621 Appaloosa Dr,Sunland Park,NM,88063,March,2025,Cardiel
DISPENSARY NEAR ME SUNLAND PARK LLC- MCNUTT RETAIL,"$42,040.09","$38,212.59","$3,827.50",1290 McNutt Rd,Sunland Park,NM,88063,March,2025,Dispensary Near Me
ERB HOLDINGS/ RETAIL OHARA ROAD,"$11,984.47","$11,143.93",$840.54,1400 E Ohara Road,Anthony,NM,88021,March,2025,Kushology 101
EVEREST APOTHECARY,"$79,808.39","$77,307.62","$2,500.77",1580 Appaloosa Dr Ste 320,Sunland Park,NM,88063,March,2025,Everest
FIELDS OF DREAMS - SUNLAND PARK RETAIL,"$1,070,653.72","$1,060,938.63","$9,715.09",159 Sunland Park Dr,Sunland Park,NM,88063,March,2025,Field of Dreams
FLORA VERDE LLC - MAGUEY CT RETAIL,"$26,366.44","$24,645.05","$1,721.39",100 Maguey Ct,Sunland Park,NM,88063,March,2025,Nubes
FRESHIES LLC/ RETAIL MCNUTT RD,"$41,499.75","$35,751.19","$5,748.56",5325 McNutt Rd,Santa Teresa,NM,88008,March,2025,Public Affair
GANJIKA GARDENS LLC/ RETAIL RILEY WAY,"$29,248.32","$27,751.54","$1,496.78",1245 Riley Way,Chaparral,NM,88081,March,2025,Ganjika Gardens
GARDEN OF DREAMS CANNABIS LLC,"$29,478.45","$26,728.27","$2,750.18",5300 Mcnutt Rd,Santa Teresa,NM,88008,March,2025,Garden of Dreams
GREENGO NM - ANTHONY DR RETAIL,"$3,122.33","$1,931.91","$1,190.42",816 Anthony Dr,Anthony,NM,88021,March,2025,GreenGo
"GREEN LABS CANNABIS COMPANY, LLC- DERBY RD RETAIL","$28,369.77","$28,197.44",$172.33,245 Derby Rd,Sunland Park,NM,88063,March,2025,Green Labs
"GREEN THERAPY DISPENSARY, LLC","$367,631.50","$342,396.48","$25,235.02","460 County Line Drive, Space F",Chaparral,NM,88081,March,2025,Green Therapy
GROTH INDUSTRIES LLC - SCHNEBERGER DR RETIAL,"$9,617.69","$8,419.28","$1,198.41",140 Schneberger Dr,Chaparral,NM,88081,March,2025,Groth
HHNM CHAPARRAL 1 COMPANY- S. COUNTY LINE RETAIL,"$12,213.28","$10,631.35","$1,581.93",545 S. County Line,Chaparral,NM,88081,March,2025,High Horse
HHNM SUNLAND PARK 1 COMPANY- MCNUTT RD. STE. D RETAIL,"$13,713.20","$11,555.66","$2,157.54",1290 McNutt Rd. Ste. D,Sunland Park,NM,88063,March,2025,High Horse Sunland
HI LIFE DISPENSARY LLC - MCNUTT RD - RETAIL,"$53,248.66","$48,877.60","$4,371.06",5620 McNutt Rd,Santa Teresa,NM,88008,March,2025,Hi Life
HOUSE OF FLOWERS ON THE BORDER LLC - RETAIL,"$64,163.76","$61,836.76","$2,327.00",1042 State Line,Chaparral,NM,88081,March,2025,House of Flowers
J AND J LOAN COMPANY- MCNUTT RETAIL,"$31,934.05","$31,934.05",,1144 McNutt,Sunland Park,NM,88063,March,2025,Empire Garden
"KUSHOLOGY 101 LLC - OHARA RD, RETAIL","$25,044.88","$23,841.49","$1,203.39",1600 E OHara Rd,Anthony,NM,88021,March,2025,Kushology 101
MEDD LLC - PALOMA BLANCA RETAIL,"$77,515.61","$70,687.87","$6,827.74",170 McCombs,Chaparral,NM,88081,March,2025,Pure Medd
"NEBRO, LLC","$112,191.00","$107,659.50","$4,531.50",1999 Futurity Drive Unit A,Sunland Park,NM,88063,March,2025,Elevation 3789
NEWBERRY FARMS LLC - MCNUTT RD. RETAIL,"$16,706.54","$16,461.03",$245.51,1845 McNutt Rd,Sunland Park,NM,88063,March,2025,Sun City Grow Stand
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  SUNLAND PARK RETAIL,"$46,998.28","$37,634.82","$9,363.46",1155 McNutt Road,Sunland Park,NM,88063,March,2025,Ultra Health
NUVES LLC - RANCH ROAD RETAIL,"$28,597.97","$27,914.21",$683.76,101 Maguey Suite 4,Sunland Park,NM,88063,March,2025,Greens
OBI WAN CANNABIS LLC,"$29,996.61","$29,362.99",$633.62,2167 McNutt Rd suite A,Sunland Park,NM,88063,March,2025,Obi Wan Cannabis
OLD GODS CANNABIS INC/ RETAIL APPALOOSA UNIT7,"$120,704.53","$118,787.43","$1,917.10",1541 Appaloosa Unit 7,Sunland Park,NM,88063,March,2025,Old Gods
